Plate,Row,Column,Well,WellType,RFU,Pct_Activity
Plate 1,A,1,A01,Low,339,0.18
Plate 1,A,2,A02,High,9723,43.76
Plate 1,A,3,A03,Experimental,20181,92.32
Plate 1,A,4,A04,Experimental,27184,124.84
Plate 1,A,5,A05,Experimental,13126,59.56
Plate 1,A,6,A06,Experimental,13126,59.56
Plate 1,A,7,A07,Experimental,27633,126.92
Plate 1,A,8,A08,Experimental,21139,96.77
Plate 1,A,9,A09,Experimental,11244,50.82
Plate 1,A,10,A10,Experimental,19340,88.41
Plate 1,A,11,A11,Experimental,11292,51.04
Plate 1,A,12,A12,Experimental,11274,50.96
Plate 1,A,13,A13,Experimental,16935,77.25
Plate 1,A,14,A14,Experimental,200,-0.46
Plate 1,A,15,A15,Experimental,1200,4.18
Plate 1,A,16,A16,Experimental,10501,47.37
Plate 1,A,17,A17,Experimental,6897,30.63
Plate 1,A,18,A18,Experimental,17513,79.93
Plate 1,A,19,A19,Experimental,7735,34.53
Plate 1,A,20,A20,Experimental,3701,15.79
Plate 1,A,21,A21,Experimental,26725,122.71
Plate 1,A,22,A22,Experimental,13193,59.87
Plate 1,A,23,A23,Low,305,0.02
Plate 1,A,24,A24,High,27150,124.68
Plate 1,B,1,B01,Low,256,-0.2
Plate 1,B,2,B02,High,10221,46.07
Plate 1,B,3,B03,Experimental,5792,25.5
Plate 1,B,4,B04,Experimental,18005,82.22
Plate 1,B,5,B05,Experimental,10194,45.94
Plate 1,B,6,B06,Experimental,12666,57.42
Plate 1,B,7,B07,Experimental,10186,45.91
Plate 1,B,8,B08,Experimental,29818,137.07
Plate 1,B,9,B09,Experimental,14892,67.76
Plate 1,B,10,B10,Experimental,6538,28.97
Plate 1,B,11,B11,Experimental,21580,98.82
Plate 1,B,12,B12,Experimental,5233,22.91
Plate 1,B,13,B13,Experimental,16670,76.02
Plate 1,B,14,B14,Experimental,200,-0.46
Plate 1,B,15,B15,Experimental,4374,18.92
Plate 1,B,16,B16,Experimental,16574,75.57
Plate 1,B,17,B17,Experimental,20907,95.69
Plate 1,B,18,B18,Experimental,16370,74.62
Plate 1,B,19,B19,Experimental,14074,63.96
Plate 1,B,20,B20,Experimental,12591,57.08
Plate 1,B,21,B21,Experimental,3171,13.33
Plate 1,B,22,B22,Experimental,9241,41.52
Plate 1,B,23,B23,Low,263,-0.17
Plate 1,B,24,B24,High,32114,147.73
