Plate,PlateFile,Row,Column,Well,WellType,RFU
Plate 1,sample_384_plate.csv,A,1,A01,Low,339
Plate 1,sample_384_plate.csv,A,2,A02,High,9723
Plate 1,sample_384_plate.csv,A,3,A03,Experimental,20181
Plate 1,sample_384_plate.csv,A,4,A04,Experimental,27184
Plate 1,sample_384_plate.csv,A,5,A05,Experimental,13126
Plate 1,sample_384_plate.csv,A,6,A06,Experimental,13126
Plate 1,sample_384_plate.csv,A,7,A07,Experimental,27633
Plate 1,sample_384_plate.csv,A,8,A08,Experimental,21139
Plate 1,sample_384_plate.csv,A,9,A09,Experimental,11244
Plate 1,sample_384_plate.csv,A,10,A10,Experimental,19340
Plate 1,sample_384_plate.csv,A,11,A11,Experimental,11292
Plate 1,sample_384_plate.csv,A,12,A12,Experimental,11274
Plate 1,sample_384_plate.csv,A,13,A13,Experimental,16935
Plate 1,sample_384_plate.csv,A,14,A14,Experimental,200
Plate 1,sample_384_plate.csv,A,15,A15,Experimental,1200
Plate 1,sample_384_plate.csv,A,16,A16,Experimental,10501
Plate 1,sample_384_plate.csv,A,17,A17,Experimental,6897
Plate 1,sample_384_plate.csv,A,18,A18,Experimental,17513
Plate 1,sample_384_plate.csv,A,19,A19,Experimental,7735
Plate 1,sample_384_plate.csv,A,20,A20,Experimental,3701
Plate 1,sample_384_plate.csv,A,21,A21,Experimental,26725
Plate 1,sample_384_plate.csv,A,22,A22,Experimental,13193
Plate 1,sample_384_plate.csv,A,23,A23,Low,305
Plate 1,sample_384_plate.csv,A,24,A24,High,27150
Plate 1,sample_384_plate.csv,B,1,B01,Low,256
Plate 1,sample_384_plate.csv,B,2,B02,High,10221
Plate 1,sample_384_plate.csv,B,3,B03,Experimental,5792
Plate 1,sample_384_plate.csv,B,4,B04,Experimental,18005
Plate 1,sample_384_plate.csv,B,5,B05,Experimental,10194
Plate 1,sample_384_plate.csv,B,6,B06,Experimental,12666
Plate 1,sample_384_plate.csv,B,7,B07,Experimental,10186
Plate 1,sample_384_plate.csv,B,8,B08,Experimental,29818
Plate 1,sample_384_plate.csv,B,9,B09,Experimental,14892
Plate 1,sample_384_plate.csv,B,10,B10,Experimental,6538
Plate 1,sample_384_plate.csv,B,11,B11,Experimental,21580
Plate 1,sample_384_plate.csv,B,12,B12,Experimental,5233
Plate 1,sample_384_plate.csv,B,13,B13,Experimental,16670
Plate 1,sample_384_plate.csv,B,14,B14,Experimental,200
Plate 1,sample_384_plate.csv,B,15,B15,Experimental,4374
Plate 1,sample_384_plate.csv,B,16,B16,Experimental,16574
Plate 1,sample_384_plate.csv,B,17,B17,Experimental,20907
Plate 1,sample_384_plate.csv,B,18,B18,Experimental,16370
Plate 1,sample_384_plate.csv,B,19,B19,Experimental,14074
Plate 1,sample_384_plate.csv,B,20,B20,Experimental,12591
Plate 1,sample_384_plate.csv,B,21,B21,Experimental,3171
Plate 1,sample_384_plate.csv,B,22,B22,Experimental,9241
Plate 1,sample_384_plate.csv,B,23,B23,Low,263
Plate 1,sample_384_plate.csv,B,24,B24,High,32114
Plate 1,sample_384_plate.csv,C,1,C01,Low,327
Plate 1,sample_384_plate.csv,C,2,C02,High,6473
Plate 1,sample_384_plate.csv,C,3,C03,Experimental,17592
