Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,435.0,9068.0,15262.0,18260.0,8688.0,15016.0,14992.0,962.0,23141.0,19803.0,9996.0,13627.0,19042.0,12909.0,13058.0,3374.0,19436.0,15991.0,17195.0,2787.0,28205.0,16234.0,269.0,34058.0
B,296.0,7098.0,11758.0,200.0,23395.0,11668.0,9059.0,23579.0,1791.0,19283.0,200.0,9702.0,5366.0,26695.0,29129.0,12364.0,21725.0,13560.0,19544.0,8977.0,1333.0,575.0,330.0,34495.0
C,321.0,8950.0,30296.0,16898.0,15811.0,17020.0,13940.0,12524.0,3520.0,19012.0,14241.0,24544.0,12049.0,200.0,14203.0,28596.0,11932.0,7881.0,5451.0,6599.0,12598.0,5560.0,419.0,29434.0
D,308.0,12876.0,27026.0,13298.0,17655.0,20880.0,13457.0,775.0,20237.0,22154.0,18324.0,7611.0,13431.0,10273.0,12602.0,25375.0,27236.0,20355.0,19389.0,20413.0,14902.0,14394.0,246.0,29888.0
E,480.0,11738.0,12263.0,11224.0,8084.0,17994.0,18132.0,3455.0,18890.0,10444.0,26413.0,16254.0,28741.0,11334.0,12696.0,17398.0,23447.0,19527.0,5131.0,16463.0,15177.0,11567.0,248.0,33495.0
F,268.0,8308.0,20096.0,16044.0,14393.0,21250.0,18909.0,17897.0,22713.0,17269.0,10064.0,12101.0,10832.0,16677.0,6376.0,340.0,15705.0,4307.0,200.0,17986.0,9311.0,18969.0,257.0,27756.0
G,200.0,8970.0,12812.0,8412.0,12751.0,2711.0,15115.0,650.0,13449.0,20578.0,23735.0,28715.0,2549.0,21069.0,24650.0,22844.0,7565.0,18294.0,29880.0,3021.0,18810.0,23898.0,244.0,31165.0
H,214.0,8375.0,8463.0,16538.0,14272.0,22632.0,7477.0,13949.0,22688.0,19486.0,4402.0,20321.0,11172.0,18083.0,17405.0,24754.0,15932.0,200.0,4041.0,20849.0,12933.0,24103.0,321.0,28501.0
I,386.0,28385.0,200.0,31510.0,200.0,20091.0,22510.0,16176.0,1532.0,23120.0,3467.0,4250.0,12106.0,21308.0,17400.0,21486.0,11450.0,13622.0,5902.0,12465.0,19745.0,12601.0,10950.0,28853.0
J,252.0,30078.0,13440.0,19739.0,16426.0,28922.0,13244.0,13181.0,6678.0,15182.0,20462.0,9077.0,14602.0,20748.0,13984.0,10846.0,22784.0,15776.0,18172.0,24371.0,24162.0,12222.0,8949.0,30568.0
K,289.0,26200.0,25202.0,15154.0,20891.0,5616.0,25305.0,10293.0,14138.0,3788.0,13664.0,13161.0,13517.0,18508.0,15482.0,22806.0,11254.0,7031.0,14847.0,20026.0,24957.0,21511.0,6469.0,30754.0
L,416.0,30125.0,10871.0,17473.0,10974.0,20112.0,14896.0,26144.0,18996.0,9208.0,19837.0,22488.0,10452.0,11593.0,200.0,22227.0,10297.0,200.0,849.0,13216.0,21085.0,14287.0,10943.0,27797.0
M,192.0,31771.0,18937.0,14755.0,25256.0,7390.0,11637.0,23210.0,29702.0,15067.0,28436.0,10179.0,17637.0,13609.0,2294.0,17063.0,22461.0,13813.0,14436.0,26143.0,5002.0,3019.0,8691.0,27606.0
N,407.0,30619.0,8087.0,10084.0,37888.0,10119.0,8903.0,17434.0,20106.0,16773.0,7730.0,5726.0,19769.0,14566.0,1868.0,24368.0,21202.0,13072.0,12917.0,16851.0,9503.0,4213.0,10645.0,27121.0
O,331.0,27117.0,14206.0,13914.0,29261.0,6484.0,3680.0,9830.0,6010.0,10281.0,18366.0,21175.0,28276.0,9106.0,36108.0,30857.0,13371.0,200.0,14335.0,15580.0,200.0,15590.0,9599.0,28428.0
P,350.0,32010.0,11110.0,16835.0,9761.0,8707.0,15635.0,19187.0,10493.0,200.0,19686.0,2227.0,15975.0,29232.0,14865.0,5481.0,3310.0,24363.0,14864.0,19317.0,22410.0,14607.0,9382.0,28105.0
