Plate,Well,Row,Column,% Activity
Plate 1,I18,I,18,125.97
Plate 1,H12,H,12,121.83
Plate 1,E18,E,18,114.96
Plate 1,J05,J,5,110.99
Plate 1,F06,F,6,107.67
Plate 1,P19,P,19,107.66
Plate 1,P15,P,15,106.68
Plate 1,J19,J,19,106.43
Plate 1,L21,L,21,106.14
Plate 1,K13,K,13,105.85
Plate 1,N12,N,12,105.05
Plate 1,E11,E,11,99.54
Plate 1,G13,G,13,98.99
Plate 1,B08,B,8,98.63
Plate 1,K09,K,9,96.31
Plate 1,L03,L,3,92.76
Plate 1,L19,L,19,91.52
Plate 1,A07,A,7,91.33
Plate 1,F16,F,16,90.55
Plate 1,A04,A,4,89.83
Plate 1,D11,D,11,88.63
Plate 1,O16,O,16,88.56
Plate 1,A21,A,21,88.3
Plate 1,H10,H,10,87.97
Plate 1,P13,P,13,87.91
Plate 1,L07,L,7,87.65
Plate 1,F03,F,3,86.62
Plate 1,C18,C,18,85.37
Plate 1,F22,F,22,84.06
Plate 1,N03,N,3,84.02
Plate 1,M19,M,19,83.27
Plate 1,K17,K,17,82.99
Plate 1,L09,L,9,80.21
Plate 1,G19,G,19,80.09
Plate 1,N15,N,15,80.08
Plate 1,I20,I,20,79.47
Plate 1,J10,J,10,78.23
Plate 1,I11,I,11,78.07
Plate 1,I12,I,12,77.29
Plate 1,K14,K,14,76.72
Plate 1,C07,C,7,76.68
Plate 1,C20,C,20,75.95
Plate 1,C12,C,12,75.2
Plate 1,D20,D,20,75.01
Plate 2,N05,N,5,127.58
Plate 2,O15,O,15,121.54
Plate 2,I04,I,4,105.93
Plate 2,O16,O,16,103.71
Plate 2,C03,C,3,101.81
Plate 2,G19,G,19,100.39
Plate 2,M09,M,9,99.79
Plate 2,O05,O,5,98.29
Plate 2,P14,P,14,98.19
Plate 2,B15,B,15,97.84
Plate 2,J06,J,6,97.14
Plate 2,E13,E,13,96.53
Plate 2,G12,G,12,96.44
Plate 2,C16,C,16,96.04
Plate 2,M11,M,11,95.49
Plate 2,O13,O,13,94.95
Plate 2,A21,A,21,94.71
Plate 2,D17,D,17,91.42
Plate 2,D03,D,3,90.7
