Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,339.0,9723.0,20181.0,27184.0,13126.0,13126.0,27633.0,21139.0,11244.0,19340.0,11292.0,11274.0,16935.0,200.0,1200.0,10501.0,6897.0,17513.0,7735.0,3701.0,26725.0,13193.0,305.0,27150.0
B,256.0,10221.0,5792.0,18005.0,10194.0,12666.0,10186.0,29818.0,14892.0,6538.0,21580.0,5233.0,16670.0,200.0,4374.0,16574.0,20907.0,16370.0,14074.0,12591.0,3171.0,9241.0,263.0,32114.0
C,327.0,6473.0,17592.0,11919.0,9584.0,19893.0,23247.0,22450.0,8286.0,12526.0,17650.0,22804.0,11166.0,13514.0,6149.0,5430.0,21500.0,25849.0,14423.0,23028.0,17893.0,9839.0,328.0,33076.0
D,297.0,13129.0,200.0,21575.0,15696.0,12607.0,15734.0,200.0,13242.0,17856.0,26823.0,10853.0,8532.0,10985.0,22323.0,17630.0,10761.0,19106.0,15776.0,22749.0,9383.0,12378.0,268.0,27072.0
E,323.0,10522.0,15040.0,13123.0,3677.0,11634.0,12258.0,8581.0,13709.0,18232.0,30089.0,16396.0,17060.0,14404.0,200.0,14787.0,15481.0,34705.0,13461.0,17412.0,14722.0,5650.0,391.0,31503.0
F,363.0,8181.0,26222.0,3785.0,19694.0,32523.0,7075.0,10469.0,15797.0,10972.0,2594.0,15548.0,6501.0,18788.0,7644.0,27399.0,8733.0,12423.0,21508.0,5153.0,16819.0,25457.0,171.0,30369.0
G,320.0,11563.0,5104.0,4436.0,19175.0,17375.0,17003.0,17771.0,9559.0,16858.0,17344.0,9285.0,29926.0,18790.0,5469.0,20252.0,7202.0,21296.0,24268.0,8434.0,22707.0,18302.0,365.0,33793.0
H,280.0,8492.0,7883.0,8473.0,14383.0,17729.0,17213.0,21617.0,15104.0,26628.0,12882.0,36761.0,20005.0,8142.0,6432.0,18859.0,13212.0,20712.0,18785.0,14417.0,8225.0,2881.0,264.0,31712.0
I,317.0,27508.0,16385.0,18082.0,7929.0,16229.0,15465.0,5856.0,17862.0,19486.0,23664.0,23430.0,3978.0,7497.0,19120.0,19110.0,19120.0,38000.0,19567.0,24084.0,22632.0,20211.0,9369.0,31517.0
J,238.0,29526.0,11117.0,15654.0,33517.0,200.0,20490.0,2098.0,11224.0,23711.0,15514.0,6378.0,9277.0,20436.0,9157.0,16731.0,15364.0,9787.0,32151.0,20071.0,200.0,16491.0,8676.0,31704.0
K,236.0,29770.0,19039.0,21926.0,5397.0,12323.0,11200.0,9773.0,29123.0,18239.0,4912.0,22342.0,31977.0,23259.0,2845.0,11126.0,25135.0,9338.0,18550.0,21197.0,7584.0,14523.0,4000.0,27951.0
L,279.0,27504.0,28059.0,3558.0,11479.0,16045.0,26530.0,3513.0,24305.0,15081.0,7147.0,18696.0,16592.0,10198.0,15558.0,11917.0,15908.0,20297.0,27688.0,5097.0,32064.0,200.0,9696.0,31176.0
M,322.0,28754.0,13335.0,11055.0,10285.0,21796.0,17856.0,9456.0,22196.0,17458.0,21502.0,20037.0,8368.0,10518.0,20978.0,19882.0,14832.0,15938.0,25221.0,10267.0,19376.0,13382.0,9564.0,32197.0
N,366.0,31627.0,25443.0,15168.0,20455.0,12517.0,17593.0,13958.0,15775.0,19761.0,8454.0,31739.0,6951.0,5286.0,24264.0,21333.0,19992.0,20026.0,14902.0,7821.0,15606.0,9582.0,11950.0,29705.0
O,233.0,29357.0,18303.0,10490.0,8422.0,16949.0,16959.0,10944.0,11231.0,16856.0,3415.0,3740.0,9252.0,13292.0,17487.0,26802.0,21861.0,13720.0,14847.0,6979.0,14851.0,12690.0,10645.0,28345.0
P,341.0,33065.0,14129.0,18213.0,20521.0,11790.0,16792.0,15100.0,15781.0,8815.0,15196.0,18983.0,26609.0,22674.0,32225.0,8861.0,21978.0,16466.0,32518.0,8533.0,8282.0,10204.0,5752.0,28948.0
