Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,288.0,14114.0,17266.0,25638.0,13763.0,14447.0,21041.0,21605.0,14095.0,200.0,13663.0,20483.0,15188.0,18649.0,17163.0,3519.0,22062.0,10359.0,10987.0,19727.0,9147.0,17094.0,231.0,29624.0
B,270.0,9076.0,8468.0,14639.0,15970.0,22407.0,10409.0,15421.0,32658.0,18134.0,18861.0,18466.0,1365.0,13048.0,200.0,21890.0,28602.0,10769.0,29107.0,6027.0,5464.0,19421.0,234.0,29006.0
C,386.0,8050.0,12742.0,14062.0,18028.0,20857.0,14171.0,5410.0,23080.0,38000.0,21562.0,19484.0,11994.0,12983.0,3883.0,19938.0,13913.0,25303.0,6704.0,25914.0,12520.0,10111.0,261.0,28782.0
D,132.0,11278.0,21194.0,25228.0,20642.0,20247.0,1571.0,16464.0,5934.0,12767.0,26172.0,15257.0,200.0,6987.0,10459.0,13194.0,22504.0,21694.0,21497.0,16858.0,12639.0,12106.0,334.0,31867.0
E,424.0,10187.0,17358.0,26883.0,6304.0,21569.0,8696.0,27750.0,26247.0,28158.0,27332.0,21724.0,6815.0,18958.0,22165.0,18818.0,14083.0,16255.0,18100.0,6790.0,20433.0,19439.0,289.0,31335.0
F,393.0,7966.0,26765.0,23130.0,23048.0,22978.0,20715.0,15005.0,9133.0,19099.0,16063.0,9450.0,29077.0,21724.0,12512.0,2404.0,8295.0,18908.0,12938.0,4460.0,17135.0,13730.0,267.0,27510.0
G,326.0,7854.0,13298.0,24284.0,24955.0,13975.0,200.0,21041.0,7568.0,3853.0,20919.0,201.0,20699.0,22240.0,19021.0,16676.0,14102.0,11129.0,6344.0,33948.0,11443.0,7612.0,292.0,31155.0
H,381.0,9543.0,13477.0,8590.0,12951.0,21922.0,14502.0,12063.0,16367.0,8746.0,200.0,11107.0,200.0,12884.0,18292.0,22900.0,19239.0,15290.0,6794.0,6209.0,13319.0,8079.0,223.0,30089.0
I,231.0,26366.0,13253.0,7402.0,19140.0,25351.0,21080.0,18491.0,25925.0,7153.0,10387.0,16484.0,11834.0,16161.0,11975.0,12902.0,11581.0,20952.0,13510.0,4516.0,14025.0,10129.0,12887.0,30724.0
J,401.0,30222.0,22367.0,21119.0,19464.0,1082.0,16596.0,25886.0,15107.0,24359.0,11157.0,12545.0,20508.0,3691.0,28380.0,12797.0,25507.0,10216.0,21014.0,11673.0,2691.0,11612.0,9772.0,30959.0
K,236.0,31039.0,12925.0,200.0,22876.0,23624.0,12141.0,13501.0,10808.0,18043.0,10282.0,21653.0,13844.0,4615.0,20490.0,18764.0,216.0,16486.0,19489.0,14252.0,11163.0,24828.0,8677.0,33486.0
L,242.0,31880.0,29436.0,4739.0,18822.0,9231.0,21413.0,26486.0,29200.0,23212.0,12347.0,20776.0,36066.0,25082.0,32871.0,24323.0,5597.0,12966.0,20853.0,7683.0,20723.0,200.0,9905.0,31235.0
M,153.0,31163.0,22500.0,22753.0,2167.0,3911.0,24491.0,24504.0,6951.0,4781.0,23163.0,200.0,20742.0,2241.0,3931.0,16131.0,20695.0,20913.0,16469.0,8358.0,8810.0,17134.0,11427.0,28259.0
N,246.0,28829.0,15515.0,7530.0,14937.0,16714.0,19137.0,18686.0,5020.0,15523.0,18592.0,9531.0,11885.0,26199.0,200.0,32370.0,24785.0,12605.0,28050.0,7339.0,19243.0,3910.0,13161.0,28733.0
O,369.0,30443.0,12108.0,10752.0,35390.0,9730.0,19367.0,20568.0,24339.0,23992.0,6302.0,15070.0,20544.0,17630.0,9641.0,11435.0,14716.0,6096.0,14854.0,19872.0,19500.0,19233.0,8247.0,26766.0
P,328.0,28593.0,18242.0,27748.0,16667.0,13313.0,9183.0,7528.0,25377.0,200.0,13566.0,24611.0,6955.0,14533.0,12874.0,19639.0,26628.0,11567.0,6995.0,9852.0,30698.0,30840.0,10857.0,31241.0
