Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,-0.41,32.58,0.8,57.62,57.54,39.97,50.35,59.78,75.02,40.51,95.83,17.81,96.1,-0.31,37.31,87.94,57.49,69.67,74.77,70.21,12.52,23.18,-0.01,103.79
B,0.12,31.99,40.32,90.19,56.42,62.62,44.64,36.51,61.38,78.31,83.61,62.84,13.25,72.21,7.34,18.62,32.79,28.39,75.05,62.63,67.64,31.53,0.08,110.48
C,-0.3,29.7,34.85,22.87,55.82,70.34,57.97,54.3,92.98,30.45,48.02,86.01,69.02,7.08,116.95,77.53,70.6,27.89,31.69,84.39,58.64,52.04,0.27,91.86
D,0.18,31.73,81.42,47.39,34.6,27.16,66.35,4.96,95.36,48.83,61.55,1.79,25.46,129.24,53.89,64.74,9.26,-0.31,27.81,77.87,78.55,24.29,-0.12,101.86
E,-0.61,34.6,73.35,76.6,55.24,37.08,55.53,39.33,16.87,36.1,39.29,116.64,31.47,50.53,43.81,25.3,59.96,12.49,33.7,52.11,59.3,79.66,0.28,89.34
F,0.56,30.8,129.24,99.89,29.67,45.31,62.49,110.57,67.48,36.81,54.64,47.55,49.85,69.46,77.88,66.7,18.58,27.02,45.76,52.32,32.9,71.57,-0.13,97.57
G,-0.21,34.45,25.32,65.3,54.21,64.38,45.93,39.15,28.54,60.91,78.86,92.57,50.38,16.14,22.11,70.94,55.85,21.58,69.53,112.93,7.51,62.46,-0.02,99.47
H,-0.22,12.72,6.15,46.58,13.64,12.7,118.29,20.56,103.53,20.59,29.13,49.84,82.75,66.87,45.17,68.74,98.27,57.55,63.61,6.1,27.79,65.74,0.51,89.15
I,0.1,106.24,81.2,9.67,23.66,64.81,16.94,48.76,48.68,63.21,39.54,66.05,52.69,78.36,51.13,28.96,59.69,54.06,46.4,92.75,50.92,39.84,27.69,87.61
J,-0.05,100.27,65.72,45.27,19.74,58.3,45.01,41.05,86.68,63.67,66.24,34.71,17.63,40.18,39.39,49.02,72.3,71.13,63.31,67.6,23.5,84.49,33.51,104.57
K,0.26,101.59,4.03,25.17,64.52,28.03,-0.31,48.29,4.48,53.79,35.63,79.44,20.17,17.73,79.11,16.0,70.44,65.69,129.24,22.56,64.59,5.93,37.1,91.77
L,0.04,102.27,76.4,45.85,55.91,52.37,52.17,28.08,66.04,40.42,59.59,22.99,48.27,62.49,43.87,31.68,17.2,41.13,44.46,52.68,32.78,72.14,37.79,103.99
M,0.0,99.57,47.46,50.26,8.97,40.51,47.12,14.5,12.41,31.5,107.8,84.64,62.22,23.08,67.27,57.27,29.09,46.49,59.18,49.38,90.55,51.07,36.92,98.87
N,-0.27,98.23,64.21,43.5,67.06,65.08,52.79,13.3,39.76,40.75,51.34,21.76,63.1,93.96,60.85,60.97,-0.31,30.93,47.92,22.87,69.82,57.02,36.99,90.89
O,-0.31,109.59,12.73,55.97,46.08,110.96,19.74,14.75,54.83,76.54,83.12,23.49,68.92,-0.31,90.55,60.4,-0.31,50.35,24.31,27.24,85.93,26.18,25.33,109.93
P,0.26,96.47,20.91,46.38,82.42,60.04,67.66,46.73,32.42,26.24,40.09,14.32,37.5,41.89,15.36,35.47,42.98,80.18,97.74,42.96,47.68,15.67,39.62,114.61
