Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.13,31.49,66.43,89.83,42.86,42.86,91.33,69.63,36.57,63.62,36.73,36.67,55.59,-0.33,3.01,34.09,22.04,57.52,24.84,11.37,88.3,43.08,0.02,89.72
B,-0.15,33.15,18.35,59.16,33.06,41.32,33.03,98.63,48.76,20.85,71.11,16.48,54.7,-0.33,13.61,54.38,68.86,53.7,46.03,41.07,9.59,29.88,-0.12,106.31
C,0.09,20.63,57.78,38.83,31.02,65.47,76.68,74.01,26.69,40.85,57.98,75.2,36.31,44.16,19.55,17.14,70.84,85.37,47.19,75.95,58.79,31.88,0.09,109.52
D,-0.01,42.87,-0.33,71.09,51.45,41.12,51.57,-0.33,43.25,58.66,88.63,35.26,27.51,35.7,73.59,57.91,34.96,62.84,51.71,75.01,30.35,40.36,-0.11,89.46
E,0.08,34.16,49.25,42.85,11.29,37.87,39.96,27.67,44.81,59.92,99.54,53.79,56.0,47.13,-0.33,48.41,50.73,114.96,43.98,57.18,48.19,17.88,0.31,104.26
F,0.21,26.34,86.62,11.65,64.81,107.67,22.64,33.98,51.78,35.66,7.67,50.95,20.72,61.78,24.54,90.55,28.18,40.51,70.87,16.22,55.2,84.06,-0.43,100.48
G,0.07,37.64,16.05,13.82,63.07,57.06,55.81,58.38,30.94,55.33,56.95,30.02,98.99,61.78,17.27,66.67,23.06,70.16,80.09,27.18,74.87,60.15,0.22,111.92
H,-0.07,27.37,25.34,27.31,47.06,58.24,56.52,71.23,49.47,87.97,42.04,121.83,65.84,26.2,20.49,62.02,43.15,68.21,61.77,47.17,26.48,8.63,-0.12,104.96
I,0.06,90.92,53.75,59.42,25.49,53.23,50.67,18.57,58.68,64.11,78.07,77.29,12.29,24.05,62.89,62.85,62.89,125.97,64.38,79.47,74.62,66.53,30.3,104.31
J,-0.21,97.66,36.15,51.31,110.99,-0.33,67.46,6.01,36.5,78.23,50.84,20.31,30.0,67.28,29.6,54.9,50.34,31.7,106.43,66.06,-0.33,54.1,27.99,104.94
K,-0.21,98.47,62.62,72.26,17.03,40.18,36.42,31.65,96.31,59.94,15.41,73.65,105.85,76.72,8.51,36.18,82.99,30.2,60.98,69.83,24.34,47.53,12.36,92.4
L,-0.07,90.9,92.76,10.89,37.36,52.61,87.65,10.74,80.21,49.39,22.88,61.47,54.44,33.07,50.98,38.82,52.15,66.82,91.52,16.03,106.14,-0.33,31.4,103.17
M,0.07,95.08,43.56,35.94,33.37,71.83,58.66,30.6,73.17,57.33,70.85,65.95,26.96,34.14,69.1,65.43,48.56,52.25,83.27,33.31,63.74,43.71,30.96,106.58
N,0.22,104.68,84.02,49.68,67.35,40.82,57.78,45.64,51.71,65.03,27.25,105.05,22.23,16.66,80.08,70.28,65.8,65.91,48.79,25.13,51.15,31.02,38.93,98.26
O,-0.22,97.09,60.16,34.05,27.14,55.63,55.67,35.57,36.53,55.32,10.41,11.5,29.91,43.41,57.43,88.56,72.05,44.84,48.61,22.32,48.62,41.4,34.57,93.71
P,0.14,109.48,46.21,59.86,67.57,38.39,55.11,49.45,51.73,28.45,49.78,62.43,87.91,74.76,106.68,28.61,72.44,54.02,107.66,27.51,26.67,33.09,18.22,95.73
